"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"Australian Fixed Interest","40735.901","1.0769323599838874","1.05284","42888.38600884","8.469272713051842","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","115261.17039774","22.760900471348858",""
"","37706.534","1.0789907128562917","1.0627","40070.7336818","7.912864132804773","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"","29801.689","1.1196130528038193","1.0839","32302.0507071","6.378763625492242","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"International Fixed Interest","18311.658","1.0359362325355792","0.9611","17599.3345038","3.4753829031986125","","0","null","0","0","False","True","Lazard Emerging Markets Total Return Debt Fund","LAZ0023AU","Managed Funds - International Fixed Interest","International Fixed Interest","72127.4408144","14.243179172696076",""
"","14493.83","1.9560999404574222","1.8403","26672.995349","5.26718052850211","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"","28091.076","1.018863072386405","0.9916","27855.1109616","5.500615740995352","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"Cash","0","0","0","49657.36","9.805958283520097","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","54657.36","10.793320306342101",""
"","0","0","0","5000","0.9873620228220042","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"Multi Sector","64947.899","0.8011718747052926","0.8808","57206.1094392","11.296627986733093","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","57206.1094392","11.296627986733093",""
"Other","16774.05","1.1268000274233116","1.1563","19395.834015","3.830141981474047","","0","null","0","0","False","True","Ironbark Global Diversified Alternatives Fund","DEU0109AU","Managed Funds - Alternative Investments","Other","19395.834015","3.830141981474047",""
"Australian Equities","12243.325","1.8427167456552855","1.8836","23061.52697","4.5963902090455715","","0","null","0","0","False","True","BT Wholesale Focus Australian Share Fund","RFA0059AU","Managed Funds - Australian Equities - General","Australian Equities","89779.3580108","17.893913211907243","8/08/2017"
"","13727.005","1.0432720028877385","1.0609","14562.9796045","2.902545740172822","","0","null","0","0","False","True","Concise Mid Cap Fund","CAM0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","1075.356","30.305312845234507","29.9863","32245.9476228","6.426936001577099","","0","null","0","0","False","True","Fidelity Australian Equities Fund","FID0008AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"","16036.169","1.7857369799482656","1.2415","19908.9038135","3.96804126111175","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"International Equities","15077.643","0.9402000034090209","1.1976","18056.9852568","3.598935592912118","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","84100.9390475","16.762148200868566",""
"","14853.559","1.3294706002783576","0.9149","13589.5211291","2.7085258467346476","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","",""
"","12438.467","1.3005195897533033","1.3038","16217.2732746","3.232262815630367","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","",""
"","18218.783","1.8044212942214637","1.989","36237.159387","7.222423945591432","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","",""
"Property","14031.378","1.5932690288865428","1.638","22983.397164","4.580818166665195","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","22983.397164","4.580818166665195",""
"Australian Fixed Interest","40735.901","1.0769323599838874","1.04761","42675.33724661","8.505616412269859","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","115052.12901091","22.931026206700253",""
"","37706.534","1.0789907128562917","1.0666","40217.7891644","8.015802795069959","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"","29801.689","1.1196130528038193","1.0791","32159.0025999","6.4096069993604345","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"International Fixed Interest","14493.83","1.9560999404574222","1.927","27929.61041","5.566647342909283","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","80915.143665","16.127187700499512",""
"","28091.076","1.018863072386405","0.9992","28068.6031392","5.59434996730421","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"","23979.338","1.0454000022853007","1.0391","24916.9301158","4.966190390286019","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"Cash","0","0","0","44578.73","8.88498139651531","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","50635.68","10.092191383646469",""
"","0","0","0","5000","0.9965494078134696","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"","0","0","0","1056.95","0.21066057931768933","","0","null","0","0","False","True","Income Receivable","null","_CASH","null","","",""
"Multi Sector","43818.831","0.800820770412611","0.8909","39038.1965379","7.780698328390017","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","39038.1965379","7.780698328390017",""
"Other","16774.05","1.1268000274233116","1.1462","19226.41611","3.8320147177591704","","0","null","0","0","False","True","Ironbark Global Diversified Alternatives Fund","DEU0109AU","Managed Funds - Alternative Investments","Other","19226.41611","3.8320147177591704",""
"Australian Equities","12243.325","1.8427167456552855","1.9688","24104.65826","4.704243457544815","","0","null","0","0","False","True","BT Wholesale Focus Australian Share Fund","RFA0059AU","Managed Funds - Australian Equities - General","Australian Equities","78485.72230591","15.317203076923287","8/02/2018"
"","1075.356","30.305312845234507","31.5899","33970.3885044","6.6296305115955345","","0","null","0","0","False","True","Fidelity Australian Equities Fund","FID0008AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
