"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"","200000","0","0.01","2000","0.12138031460369533","","0","null","0","0","False","True","Future Generation Glb Invest Co Opt Exp 15/09/2017","FGGO","ASX - Delisted Shares","Australian Equities","","",""
"","100000","1.1252","1.15","115000","6.979368089712482","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","49000","0.7404081632653061","0.84","41160","2.4980068745440502","","0","null","0","0","False","True","MFF Capital Investments Ltd Opts Exp 31/10/2017","MFFO","ASX - Delisted Shares","Australian Equities","","",""
"","7700","2.5325974025974025","2.86","22022","1.3365186441012893","","0","null","0","0","False","True","Mirrabooka Investments Ltd","MIR","ASX - Australian Equities LIC","Australian Equities","","",""
"","1400","7.154285714285714","9","12600","0.7646959820032806","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
"","1750","5.796428571428572","5.09","8907.5","0.5405975761662081","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","",""
"","11700","0.05470940170940171","0.05","585","0.03550374202158089","","0","null","0","0","False","True","WAM Leaders Ltd Options Exp 17/11/2017","WLEO","ASX - Delisted Shares","Australian Equities","","",""
"","1450","40.421627586206895","40.45","58652.5","3.55962945114662","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","",""
"","3235","31.979134466769708","32.27","104393.45","6.335654901782569","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","",""
"","1650","33.337575757575756","31.41","51826.5","3.1453584374042083","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","",""
"International Equities","75","188.66306666666668","213.041126","15978.08445","0.9697124586527062","USD","0.76","null","162.87","12215.25","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","431381.8831556","26.180634345880634",""
"","200000","1.1","1.05","210000","12.74493303338801","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","",""
"","20000","2.5500455","2.62","52400","3.1801642426168177","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","",""
"","5500","1.8436363636363637","1.855","10202.5","0.6191913298721008","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","",""
"","83000","1.3102409638554218","1.24","102920","6.246230989506162","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","",""
"","20824.656","1.9208000362647046","1.9151","39881.2987056","2.420402291844838","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","",""
"Property","4000","4.886715","5.3","21200","1.2866313347991705","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","394150.64","23.921064342223932",""
"","362088","0.016507036963390113","1.03","372950.64","22.63443300742476","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","",""
"Cash","0","0","0","25871.85","1.5701666461898076","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","30871.85","1.873617432699046",""
"","0","0","0","5000","0.30345078650923835","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"Australian Equities","800","13.015","15.53","12424","0.6577877602258995","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","888480.2356113","47.04052029843339","8/08/2017"
"","500","20.79","22.01","11005","0.5826589102773683","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","",""
"","3667","31.01581674393237","29.69","108873.23","5.76428510224237","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","",""
"","450","23.164444444444445","26.1","11745","0.6218381554936566","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","",""
"","300","31.206666666666667","31.28","9384","0.4968351852833098","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","",""
"","815","75.08494478527608","80.65","65729.75","3.4800567476423305","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","",""
"","74082.037","1.772313307205632","1.9949","147786.2556113","7.824532362421869","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","100000","1.1252","1.11","111000","5.8768867824432425","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","49000","0.7404081632653061","1","49000","2.5943013724298996","","0","null","0","0","False","True","MFF Capital Investments Ltd Opts Exp 31/10/2017","MFFO","ASX - Delisted Shares","Australian Equities","","",""
"","7700","2.5325974025974025","2.69","20713","1.0966482515742961","","0","null","0","0","False","True","Mirrabooka Investments Ltd","MIR","ASX - Australian Equities LIC","Australian Equities","","",""
"","1400","7.154285714285714","9.49","13286","0.7034262864102785","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
"","1750","5.796428571428572","4.11","7192.5","0.3808063800245317","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","",""
"","90000","1.1","1.215","109350","5.789527654596113","","0","null","0","0","False","True","WAM Microcap Limited","WMI","ASX - Australian Equities LIC","Australian Equities","","",""
"","1450","40.421627586206895","41","59450","3.147575848795052","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","",""
"","3235","31.979134466769708","31.9","103196.5","5.463731052652289","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","",""
"","1650","33.337575757575756","29.3","48345","2.559622445920888","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","",""
"International Equities","75","188.66306666666668","222.990406","16724.28045","0.8854657902926029","USD","0.79","null","176.43","13232.25","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","484912.4325396","25.67365284175113",""
"","224000","1.0941964285714285","1.105","247520","13.10492807558875","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","",""
"","20000","2.5500455","2.75","55000","2.9119709282376425","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","",""
"","5500","1.8436363636363637","2.02","11110","0.5882181275040038","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","",""
"","83000","1.3102409638554218","1.375","114125","6.042339676093109","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","",""
"","20824.656","1.9208000362647046","1.9416","40433.1520896","2.1407302440350233","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","",""
"Property","9000","2.75243","2.9","26100","1.3818625677636813","","0","null","0","0","False","True","BWP Trust","BWP","ASX - Listed Property","Property","481005.6","25.466805882172803",""
"","4000","4.886715","5.1","20400","1.0800764897463255","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","","",""
"","362088","0.016507036963390113","1.2","434505.6","23.0048668246628","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","",""
"Cash","0","0","0","28557.65","1.511982665068831","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","34356.85","1.8190208797422083",""
"","0","0","0","5000","0.2647246298397857","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"","0","0","0","799.2","0.04231358483359134","","0","null","0","0","False","True","Income Receivable","null","_CASH","null","","",""
"Australian Equities","800","13.015","14.76","11808","0.5447107968092089","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","885145.7803775","40.832356311122716","8/02/2018"
"","500","20.79","24.87","12435","0.5736347186926247","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","",""
"","3667","31.01581674393237","27.99","102639.33","4.73481971784073","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","",""
"","450","23.164444444444445","29.45","13252.5","0.6113465307176525","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","",""
"","300","31.206666666666667","34.14","10242","0.47247018808603636","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","",""
"","815","75.08494478527608","76.51","62355.65","2.8765070966341586","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","",""
"","74082.037","1.772313307205632","2.3075","170944.3003775","7.885772871665038","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","100000","1.1252","1.155","115500","5.328090873260808","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","3250","5.255046153846154","6","19500","0.8995478097713053","","0","null","0","0","False","True","Netwealth Group Limited","NWL","ASX - Australian Shares","Australian Equities","","",""
"","1400","7.154285714285714","11.82","16548","0.7633701105690031","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
"","1750","5.796428571428572","3.56","6230","0.2873939925577042","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","",""
"","90000","1.1","1.48","133200","6.1446035005916855","","0","null","0","0","False","True","WAM Microcap Limited","WMI","ASX - Australian Equities LIC","Australian Equities","","",""
"","1450","40.421627586206895","41.02","59479","2.7438053424301265","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","",""
"","3235","31.979134466769708","30.4","98344","4.536673323289706","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","",""
