"calendarYearReturns__portfolio","calendarYearReturns__endDate","calendarYearReturns__isInceptionYear","calendarYearReturns__period","rateOfReturnValues__date","rateOfReturnValues__value","rateOfReturnValues__portfolio","rateOfReturnValues__endDate","rateOfReturnValues__startDate","inceptionLabel"
"0.0065903059","2018-08-08T00:00:00+10:00","False","2018 YTD","6/02/2015","1000","0","2015-02-06T00:00:00+11:00","0001-01-01T00:00:00+11:00","*From inception: 6/02/2015"
"0.212920802","2017-12-31T00:00:00+11:00","False","2017","31/12/2015","1057","0.0573345983","2015-12-31T00:00:00+11:00","2015-02-06T00:00:00+11:00",""
"0.0205516463","2016-12-31T00:00:00+11:00","False","2016","31/12/2016","1070","0.036416206","2016-12-31T00:00:00+11:00","2015-02-06T00:00:00+11:00",""
"0.0573345983","2015-12-31T00:00:00+11:00","True","2015*","31/12/2017","1352","0.1095297929","2017-12-31T00:00:00+11:00","2015-02-06T00:00:00+11:00",""
"null","2014-12-31T00:00:00+11:00","False","2014","8/08/2018","1341","0.0874370799","2018-08-08T00:00:00+10:00","2015-02-06T00:00:00+11:00",""
"null","2013-12-31T00:00:00+11:00","False","2013","","","","","",""
