"portfolioValuationByAssetClass__assetClassGroups__assetClass","portfolioValuationByAssetClass__assetClassGroups__defaultOrder","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioGroup","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____currentUnits","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____averageCost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____price","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____dollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____percentageValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____nativeCurrency","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignExchangeRate","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____cost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignCurrencyPrice","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignCurrencyDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____isManagedAccount","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____isHeldByClient","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetName","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetCode","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetClassification","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetClassType","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalPercentageValue","portfolioValuationByAssetClass__assetClassGroups__value","portfolioValuationByAssetClass__assetClassGroups__percentage","portfolioValuationByAssetClass__totalPortfolioValue","portfolioValuationByAssetClass__totalPortfolioPercentage","portfolioValuationByAssetClass__totalLiabilities","portfolioValuationByAssetClass__netAssets","assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","topAssetsByValue__portfolioValuations__currentUnits","topAssetsByValue__portfolioValuations__averageCost","topAssetsByValue__portfolioValuations__price","topAssetsByValue__portfolioValuations__dollarValue","topAssetsByValue__portfolioValuations__percentageValue","topAssetsByValue__portfolioValuations__nativeCurrency","topAssetsByValue__portfolioValuations__foreignExchangeRate","topAssetsByValue__portfolioValuations__cost","topAssetsByValue__portfolioValuations__foreignCurrencyPrice","topAssetsByValue__portfolioValuations__foreignCurrencyDollarValue","topAssetsByValue__portfolioValuations__isManagedAccount","topAssetsByValue__portfolioValuations__isHeldByClient","topAssetsByValue__portfolioValuations__assetName","topAssetsByValue__portfolioValuations__assetCode","topAssetsByValue__portfolioValuations__assetClassification","topAssetsByValue__portfolioValuations__assetClassType","topAssetsByValue__totalValue","topAssetsByValue__totalPercentage","productEnum","accountDetails"
"","","","","1750","5.796428571428572","2.81","4917.5","0.21881380349646526","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","","","","","","","","","1750","5.796428571428572","2.81","4917.5","0.21881380349646526","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","90000","1.1","1.44","129600","5.766806087064952","","0","null","0","0","False","True","WAM Microcap Limited","WMI","ASX - Australian Equities LIC","Australian Equities","","","","","","","","","","90000","1.1","1.44","129600","5.766806087064952","","0","null","0","0","False","True","WAM Microcap Limited","WMI","ASX - Australian Equities LIC","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","1450","40.421627586206895","50.21","72804.5","3.2395789642416686","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","","","","","","","","","1450","40.421627586206895","50.21","72804.5","3.2395789642416686","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","3235","31.979134466769708","29.25","94623.75","4.210469270686051","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","","","","","","","","","3235","31.979134466769708","29.25","94623.75","4.210469270686051","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","1650","33.337575757575756","36.55","60307.5","2.683500448269055","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","","","","","","","","","1650","33.337575757575756","36.55","60307.5","2.683500448269055","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","183","0","2.15","393.45","0.017507329127744636","","0","null","0","0","False","True","Woodside Petroleum Ltd Rights","WPLR","ASX - Australian Shares","Australian Equities","","","","","","","","","","183","0","2.15","393.45","0.017507329127744636","","0","null","0","0","False","True","Woodside Petroleum Ltd Rights","WPLR","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","International Equities","","75","188.66306666666668","281.293822","21097.03665","0.9387540075019473","USD","0.74","null","208.72","15654","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","717441.3485556","31.92395938242686","","","","","","","International Equities","75","188.66306666666668","281.293822","21097.03665","0.9387540075019473","USD","0.74","null","208.72","15654","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","717441.3485556","31.92395938242686","","","","","","","","","","","","","","","","","","","",""
"","","","","224000","1.0941964285714285","1.425","319200","14.203429807030343","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","","","","","","","","","224000","1.0941964285714285","1.425","319200","14.203429807030343","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","20000","2.5500455","3.26","65200","2.901201827751812","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","","","","","","","","","20000","2.5500455","3.26","65200","2.901201827751812","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","54500","1.747588990825688","2.69","146605","6.523476901189484","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","","","","","","","","","54500","1.747588990825688","2.69","146605","6.523476901189484","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","83000","1.3102409638554218","1.43","118690","5.281344247482554","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","","","","","","","","","83000","1.3102409638554218","1.43","118690","5.281344247482554","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","20824.656","1.9208000362647046","2.2401","46649.3119056","2.075752591470722","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","","","","","","","","","20824.656","1.9208000362647046","2.2401","46649.3119056","2.075752591470722","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","Property","","9000","2.75243","3.29","29610","1.3175550018363673","","0","null","0","0","False","True","BWP Trust","BWP","ASX - Listed Property","Property","581058.72","25.855346940109328","","","","","","","Property","9000","2.75243","3.29","29610","1.3175550018363673","","0","null","0","0","False","True","BWP Trust","BWP","ASX - Listed Property","Property","581058.72","25.855346940109328","","","","","","","","","","","","","","","","","","","",""
"","","","","20400","5.377225980392157","5.91","120564","5.364731551550145","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","","","","","","","","","","20400","5.377225980392157","5.91","120564","5.364731551550145","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","","","","","","","","","","","","","","","","","","","","","",""
"","","","","362088","0.016507036963390113","1.19","430884.72","19.173060386722817","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","","","","","","","","","362088","0.016507036963390113","1.19","430884.72","19.173060386722817","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","","","","","","","","","","","","","","","","","","","","",""
"Defensive","2","Australian Fixed Interest","null","","","","","","","","","","","","","","","","","0","0","20990.91","0.9340316941437697","","","","","Cash","0","0","0","15990.91","0.7115468914020664","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","20990.91","0.9340316941437697","","","","","","","","","","","","","","","","","","","",""
"","","International Fixed Interest","null","","","","","","","","","","","","","","","","","0","0","","","","","","","","0","0","0","5000","0.22248480274170337","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"","","Cash","","0","0","0","15990.91","0.7115468914020664","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","20990.91","0.9340316941437697","","","","","","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0","0","0","5000","0.22248480274170337","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other (inc Multi Sector)","3","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
