"date","netInvestment","portfolioValue","dateLabel"
"2016-08-08T00:00:00+10:00","329749.05","503398.2366218623","8/08/2016"
"2017-02-08T00:00:00+11:00","329749.05","506399.89637608593","8/02/2017"
"2017-08-08T00:00:00+10:00","302817.05","501731.27310450823","8/08/2017"
"2018-02-08T00:00:00+11:00","302817.05","512402.45166403346","8/02/2018"
"2018-08-08T00:00:00+10:00","302817.05","519400.963785137","8/08/2018"
